Name,Department,Rating,# of Ratings,% Would Take Again,Difficulty,Link to Page
Cristina Martinez-Carazo,Languages,4.2,16 ratings,67%,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148253
Orhan Orgun,Linguistics,3.3,19 ratings,N/A,1.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148257
Dean Simonton,Psychology,4.3,38 ratings,N/A,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148496
Kevin Roddy,History,4.3,58 ratings,N/A,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148604
John Stenzel,English,3.9,36 ratings,50%,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148701
Tom Hahn,Neuropsychiatry,3.9,43 ratings,75%,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148759
Gergely Zimanyi,Physics,3.7,31 ratings,100%,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148824
Richard Grotjahn,Science,3.2,28 ratings,100%,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148919
Michael Delwiche,Engineering,3.9,19 ratings,N/A,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148931
Premkumar Devanbu,Computer Science,2.8,56 ratings,75%,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148960
Ting Guo,Chemistry,2,139 ratings,0%,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149036
Scott McLean,Literature,3.2,48 ratings,N/A,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149095
Elizabeth Davis,English,4.5,24 ratings,N/A,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149181
Marijane Osborn,English,2.3,20 ratings,N/A,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149189
Kazuo Yamazaki,Engineering,1.8,33 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149256
Peter Kelly,Science,2,49 ratings,100%,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149283
Stanley Sue,Ethnic Studies,4.2,62 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149303
Aliki Dragona,English,4.5,29 ratings,100%,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149372
Miroslav Nincic,Political Science,4.1,145 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149376
Brian Rosario,Economics,2.9,105 ratings,59%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149391
Simone Monnier Clay,French,4.6,46 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149493
Jacqueline Horn,Psychology,3.6,26 ratings,N/A,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149766
Joan Chandler,Fine Arts,4.5,13 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149852
Gary Sue Goodman,English,3.9,9 ratings,N/A,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149958
Steven Crum,Ethnic Studies,4.2,49 ratings,0%,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149978
Ken Shackel,Biology,2.4,43 ratings,0%,4.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=150562
Donald Margolis,Engineering,4.3,11 ratings,100%,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=150781
Bay Butler,Economics,2.8,54 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=150925
Quirino Paris,Economics,2.9,56 ratings,34%,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=151093
Dan Potter,Science,4,20 ratings,100%,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=151317
Natarajan Sukumar,Engineering,2.9,29 ratings,100%,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=151387
Hearne Pardee,Fine Arts,2.7,19 ratings,0%,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=151430
Neil Schore,Chemistry,4.8,116 ratings,95%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=151500
David Slaughter,Engineering,3.3,14 ratings,20%,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=151507
John Hall,Sociology,2.4,33 ratings,N/A,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=151509
Lawrence Cohen,Sociology,3.8,52 ratings,0%,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=152011
Debora Paterniti,Sociology,4.8,26 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=152017
James Schaaf,Engineering,4,35 ratings,100%,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=152198
Jeanette Natzle,Science,4.2,15 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=152683
Alex Mogilner,Mathematics,2.1,42 ratings,N/A,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=153512
Judy Callis,Biology,4.6,65 ratings,100%,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=154360
Scott Gartner,Political Science,3.3,79 ratings,N/A,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=154457
Jared Haynes,English,4,30 ratings,N/A,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=155633
Ken Joy,Computer Science,3.7,18 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=156049
Charles Martel,Computer Science,4.6,10 ratings,N/A,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=156051
Margaret Ferguson,English,4.4,23 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=156305
Lou Bronzan,Physical Ed,4.6,20 ratings,84%,1.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=157595
Kathleen O'Connor,Theology,4.7,3 ratings,100%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=157637
Brenda Schildgen,Literature,3.4,33 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=157644
Diane Felmlee,Sociology,3.8,45 ratings,N/A,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=157731
W. Ronald Fawcett,Chemistry,2.4,7 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=158369
Alexander Harcourt,Anthropology,2.8,36 ratings,N/A,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=159112
Paul Baumann,Biology,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=159288
